SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,03-10-2023 08:00,0.9,"","",""
2,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-01-2024 08:00,1.4,"","",""
3,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-02-2024 08:00,1.7,"","",""
4,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-03-2024 08:00,1.3,"","",""
5,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-04-2024 08:00,1.2,"","",""
6,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,02-05-2024 08:00,0.2,"","",""
7,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,05-06-2024 08:00,0.8,"","",""
8,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-11-2024 08:00,1.8,"","",""
9,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,02-12-2024 08:00,0.5,"","",""
10,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,01-01-2025 08:00,1.7,"","",""
11,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,03-02-2025 08:00,1.1,"","",""
12,Chotabekra,CWC,14,Manipur,255,IMPHAL EAST,Jiribam Sub-Division	,-,-,Barak,Barak and Others,Barak,Barak,Barak,Barak,24.68027778,93.10250000,03-03-2025 08:00,1.1,"","",""
